u2: 0.4723120951926, u3: 0.17679193651471214
u2: 1.4824407093681535, u3: -0.496627139602432
u2: 2.494227002232657, u3: -1.1711513348403595
u2: 3.506295047363198, u3: -1.8458633649180936
u2: 4.517241672891281, u3: -2.5198277819307915
u2: 5.526534169380648, u3: -3.1926894462493873
u2: 6.533520780720284, u3: -3.864013853805016
u2: 7.5382201214574, u3: -4.533813414291081
u2: 8.541081014183742, u3: -5.202387342766917
u2: 9.542053731229233, u3: -5.869702487448555
